smiles,LogD,KSOL,HLM_CLint,MLM_CLint,Caco-2_Permeability_Papp_AtoB,Caco-2_Permeability_Efflux,MPPB,MBPB,MGMB
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,,,0.02871177800985116,-0.38723419290015587,,,,,
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,,0.8538521980655133,0.8093819194201137,,,,,
Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,,,,-0.3757676456226174,,,,,
CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,,,-0.34339481526525023,,,,,,
CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,,-0.40801730984069445,,,,,-0.7869057227089447
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,-0.26881481576021926,-0.5081448387463433,,,,,
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,,,-0.3005509857623601,-0.506199620904618,,,,,
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,,,-0.2997575815123066,-0.40289831552036476,,,,,
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,,,1.5115843213598823,-0.4943235540814532,,,,,
CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,,,-0.34894864501562484,,,,,,
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,,,-0.3600563045163742,-0.22373351430882543,,,,,
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,,,-0.3061048155127348,-0.4891021798747168,,,,,
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,,,-0.26881481576021926,-0.22987630749322105,,,,,
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,,,-0.34022119826503616,-0.3895889302875076,,,,,
CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,,,-0.29499715601198545,-0.3178206299164852,,,,,
CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,,,,-0.5370159667130028,,,,,
O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,,,-0.34498162376535724,1.519284051763436,,,,,
CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,,,-0.3465684322654643,-0.5177685480685631,,,,,
O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,,,0.012843693008780736,0.1000940663952311,,,,,
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,,,,-0.5335350505751786,,,,,
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,,,,-0.5031282243124202,,,,,
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,,,0.956994750572471,-0.4748713756642003,,,,,
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,,,-0.2934103475118784,0.11801054651638503,,,,,
NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,,,0.5587058170456033,-0.12442502449442933,,,,,
COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,,,,3.6092670528676445,,,,,
Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,,-0.22044362137128354,,-0.14582242075340743,,,-0.5852745809191348,,
Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,,,-0.333873964264608,-0.04456871309728607,,,,,
